Case,Date,Year,Type,Area,Location,Activity,Sex ,Age,Fatal,Time,Species 
2009.01.24.b,24/01/2009,2009,Unprovoked,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,19,N,16h30,unknown
2009.01.18,18/01/2009,2009,Boat,Victoria,Off Tower Hill,Fishing,M,unknown,N,09h20,"White shark, 5.5 m "
2009.01.12,12/01/2009,2009,Unprovoked,New South Wales,"Windang,       Lake Illawara",Snorkeling,M,24,N,10h45,"Dusky shark, 2m"
2009.01.11.b,11/01/2009,2009,Unprovoked,Tasmania,Binalong Bay,Surfing,F,13,N,15h45,"White shark, 5m"
2009.01.11.a,11/01/2009,2009,Unprovoked,New South Wales,Fingal Beach,Surfing,M,31,N,09h00,"White shark, 3.5m"
2008.12.30,30/12/2008,2008,unknown,Western Australia,Port Kennedy Beach,Crabbing,unknown,unknown,N,09h30,No shark involvement
2008.12.27.d,27/12/2008,2008,Boat,Tasmania,near Schouten Island,Yacht race,unknown,unknown,N,unknown,2 m shark
2008.12.27.c,27/12/2008,2008,Unprovoked,New South Wales,Seal Rocks,Boogie Boarding,M,10,N,unknown,unknown
2008.12.27.b,27/12/2008,2008,Unprovoked,New South Wales,"Long Reef, north of Sydney",Kayaking,M,29,N,11h00,"White shark, 4m to 5m "
2008.12.27.a,27/12/2008,2008,Unprovoked,Western Australia,Port Kennedy Beach,Snorkeling,M,51,Y,07h00,4 to 5m white shark
2008.12.06,6/12/2006,2008,Boat,New South Wales,Mowarry Point,Fishing,unknown,unknown,N,Morning,"White shark, 4.5 to 5 m "
2008.11.09.b,9/11/2008,2008,Boat,South Australia,North Haven,Fishing,M,unknown,N,unknown,Bronze whaler shark
2008.10.22,22/10/2008,2008,Provoked,New South Wales,"Oceanworld, Manley",Scuba diving,M,34,N,17h20,"Grey nurse shark, 3m"
2008.10.12,12/10/2008,2008,Provoked,Northern Territory,Darwin,Fishing,M,50,N,unknown," reef shark, 1.8m"
2008.10.11,11/10/2008,2008,Unprovoked,New South Wales,Lake Macquarie,Surfing,M,15,N,15h30,unknown
2008.09.15,15/09/2008,2008,Provoked,Northern Territory,Near Croker Island,Swimming,M,43,N,14h30,Bronze whaler shark
2008.09.07,7/09/2008,2008,Unprovoked,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,51,N,12h00,3 m shark
2008.08.30.c,30/08/2008,2008,Unprovoked,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,29,N,unknown,unknown
2008.07.30.R,30/07/2008,2008,Unprovoked,Victoria,Levys Beach,Surfing,M,31,N,10h30,8' white shark or 7-gill shark
2008.05.10,10/05/2008,2008,Unprovoked,Western Australia,Albany,Swimming,M,37,N,07h30,"White shark, 4m"
2008.04.20.a,20/04/2008,2008,Unprovoked,New South Wales,Crescent Head,unknown,M,unknown,unknown,unknown,"Tiger shark, 2.3m "
2008.04.17,17/04/2008,2008,unknown,Queensland,"Duranbah, Greenmount Beach",Surfing,M,19,N,11h00,Shark involvement not confirmed; thought to be a barracuda bite
2008.04.08,8/04/2008,2008,Unprovoked,New South Wales,"Lighthouse Beach, Ballina",Body boarding,M,16,Y,08h05,Bull shark
2008.02.07,7/02/2008,2008,Unprovoked,New South Wales,Horseshoe Bay,Surfing,F,14,N,unknown,1 m shark
2008.01.27,27/01/2008,2008,Provoked,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,N,07h30,"Mako shark, 90kg"
2007.12.18,18/12/2007,2007,Unprovoked,New South Wales,Jimmy's Beach,Surfing,M,31,N,11h00,2 m shark
2007.12.15,15/12/2007,2007,Unprovoked,Queensland,South Stradbroke Island,Swimming,M,unknown,N,unknown,"""a small shark"""
2007.12.14,14/12/2007,2007,unknown,New South Wales,Bondi ,Swimming,M,34,N,20h30,Not a shark attack; it was a hoax
2007.11.18,18/11/2007,2007,Provoked,Western Australia,In a tidal creek    5 km from Wickham,Fishing,M,32,N,unknown,reef shark
2007.11.08,8/11/2007,2007,Unprovoked,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,unknown,N,14h20,unknown
2007.10.15,15/10/2007,2007,Unprovoked,New South Wales,Byron Bay,Surf-skiing,F,52,N,11h30,"White shark, 2.5m "
2007.10.13,13/10/2007,2007,Unprovoked,Queensland,Holmes Reef,Spearfishing,M,31,N,12h00,Bronze whaler shark
2007.06.05,5/06/2007,2007,Unprovoked,New South Wales,"Shelly Beach, Crescent Head",Surfing,M,unknown,N,Sunset,unknown
2007.05.16,16/05/2007,2007,Unprovoked,Western Australia,"Warra Beach, Coral Bay",Wading,F,38,N,14h30,2.5 m shark
2007.05.12,12/05/2007,2007,Unprovoked,Victoria,Warrnambool,Surfing,M,19,N,17h45,10' shark
2007.05.08,8/05/2007,2007,unknown,New South Wales,Kingscliff Beach,Swimming,M,45,Y,12h15,unknown
2007.04.26,26/04/2007,2007,Unprovoked,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,F,13,N,18h00,"""a small shark"""
2007.03.20,20/03/2007,2007,Unprovoked,New South Wales,South Golden Beach,Surfing,F,42,N,10h00,1.5 m shark
2007.03.12,12/03/2007,2007,Unprovoked,Queensland,"Moore Park, north of Bundaberg",Swimming,F,59,N,15h30,2 to 2.5 m shark
2007.02.03,3/02/2007,2007,Unprovoked,New South Wales,Shelly Beach,Boogie Boarding,M,26,N,08h00,unknown
2007.01.23,23/01/2007,2007,Unprovoked,New South Wales,Cape Howe,Diving,M,41,N,10h30,"White shark, 3m"
2007.01.19,19/01/2007,2007,unknown,New South Wales,Brunswick Heads,Swimming,M,20,Y,unknown,unknown
2007.01.09,9/01/2007,2007,Unprovoked,New South Wales,Sandbar Beach,Surfing,M,unknown,N,06h30,2.4 m shark
2006.12.18,18/12/2006,2006,Unprovoked,Victoria,"Winki Pop, Bells Beach",Surfing,M,25,N,20h00,2.5 to 3 m shark
2006.12.02,2/12/2006,2006,Unprovoked,Western Australia,Wharton Beach,Body boarding,M,15,N,07h30,"White shark, 5m "
2006.09.04,4/09/2006,2006,unknown,Queensland,Great Barrier Reef  ,Diving,M,44,Y,11h00,No shark involvement
2006.08.29.a,29/08/2006,2006,Unprovoked,South Australia,"Pennington Bay, Kangaroo Island",Surfing,M,unknown,N,16h00,"Bronze whaler shark, 6'"
2006.07.17.R,17/07/2006,2006,unknown,Torres Strait,Western Province,unknown,unknown,unknown,N,unknown,unknown
2006.06.05,5/06/2006,2006,Unprovoked,South Australia,Waitpinga,Surfing,M,40,N,11h30,14' white shark
2006.05.02,2/05/2006,2006,Provoked,Queensland,"Moffat Beach, Caloundra",Snorkeling,M,46,N,16h30,"Wobbegong shark, 2 m "
2006.04.11,11/04/2006,2006,Unprovoked,New South Wales,Newcastle Beach,Surfing,M,15,N,13h30,"Bronze whaler shark, a  juvenile "
2006.03.15,15/03/2006,2006,Unprovoked,New South Wales,"Bondi, Sydney",Surfing,M,15,N,17h00,"Bronze whaler shark, 2 m"
2006.02.13,13/02/2006,2006,Unprovoked,Queensland,"Golden Beach, Caloundra",Wading,M,18,N,11h00,unknown
2006.02.12.b,12/02/2006,2006,Unprovoked,Queensland,"Point Vernon, Hervey Bay",Swimming,M,unknown,N,unknown,unknown
2006.02.12.a,12/02/2006,2006,Boat,South Australia,"Brighton Beach, Adelaide",Fishing,M,unknown,N,12h00,4.5 m white shark
2006.01.15,15/01/2006,2006,Unprovoked,Western Australia,"Off City Beach, Perth",Scuba diving,M,52,N,11h00,3.5 m white shark
2006.01.07,7/01/2006,2006,Unprovoked,Queensland,"Amity Point, North Stradbroke Island",Swimming,F,21,Y,17h15,Bull shark
2005.12.11,11/12/2005,2005,Unprovoked,Queensland,St. Crispin Reef,Spearfishing,M,44,N,11h00,Whitetip reef shark
2005.12.05.R,6/12/2005,2005,Boat,South Australia,"Middle Beach, 40 km north of Adelaide",Fishing,unknown,unknown,N,15h30,4 m white shark
2005.11.25.c,25/11/2005,2005,Boat,Victoria,"6 km off Collendina, south of Melbourne",Fishing,unknown,unknown,N,unknown,3 m white shark
2005.11.25.b,25/11/2005,2005,Unprovoked,Victoria,Flinders,Surfing,M,18,N,18h00,1.8 m shark
2005.09.27.R,27/09/2005,2005,Unprovoked,New South Wales,Arakoon's Little Bay,Surfing,M,28,N,unknown,"Tiger shark, 3 m "
2005.09.24,24/09/2005,2005,Unprovoked,South Australia,Kangaroo Island,Surfing,M,26,N,12h05,14' to 16' white shark
2005.09.23,23/09/2005,2005,Unprovoked,Western Australia,"Scarborough Beach, Perth",Surfing,M,44,N,Morning,Bronze whaler shark
2005.09.07,7/09/2005,2005,Unprovoked,New South Wales,"Park Beach, Coff's Harbour",Standing,M,15,N,Dusk,unknown
2005.09.04.a,4/09/2005,2005,Unprovoked,South Australia,"Fishery Bay, Eyre Peninsula",Surfing,M,40,N,15h00,4 m [13'] white shark
2005.08.24.b,24/08/2005,2005,Unprovoked,South Australia,Glenelg ,Scuba diving,M,23,Y,16h10,White shark
2005.05.15,15/05/2005,2005,Unprovoked,Queensland,50 km east of Townsville,Spearfishing,M ,unknown,N,unknown,Blacktip shark
2005.04.25,25/04/2005,2005,Provoked,New South Wales,Bermagui,Fishing,M,25,N,23h00,"Mako shark, 1.5 m [5'] "
2005.04.17.R,17/04/2005,2005,Unprovoked,New South Wales,Crookhaven,unknown,unknown,unknown,N,unknown,unknown
2005.04.16.b,16/04/2005,2005,Unprovoked,Northern Territory,Bremer Island,Spearfishing,M,20,N,unknown,2 m [6.75'] copper shark
2005.04.16.a,16/04/2005,2005,Unprovoked,New South Wales,Bronte Beach,Surfing,M,40,N,06h10,Bronze whaler shark
2005.03.27.R,27/03/2005,2005,Unprovoked,New South Wales,unknown,Surfing,M,unknown,N,unknown,unknown
2005.03.19,19/03/2005,2005,Unprovoked,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,26,Y,14h00,6 m [20'] white shark
2005.02.26,26/02/2005,2005,Unprovoked,Queensland,Brisbane River,Swimming,M,18,N,unknown,Bull shark
2005.01.19,19/01/2005,2005,Provoked,Victoria,Port Phillip Bay,Spearfishing,M,unknown,N,unknown,3 m shark
2005.01.14,14/01/2005,2005,Provoked,Victoria,Blairgowrie,Attempting to drive shark away from sailing regatta,unknown,unknown,N,14h00,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  "
2004.12.16,16/12/2004,2004,Unprovoked,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,Y,15h15,4.5 m & 5 m white shark 
2004.12.11,11/12/2004,2004,Unprovoked,Queensland,Opal Reef,Spearfishing,M,38,Y,13h00,Bull shark
2004.10.21,21/10/2004,2004,Unprovoked,New South Wales,Stockton Beach,Surfing,M,59,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] "
2004.09.25,25/09/2004,2004,Boat,Queensland,Batt Reef,Spearfishing/ filming,unknown,unknown,N,12h00,"Tiger shark, 3 m [10'] "
2004.08.03,3/08/2004,2004,Unprovoked,New South Wales,Byron Bay,Spearfishing,M,30,N,14h00,unknown
2004.07.19.R,19/07/2004,2004,Boat,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,unknown,unknown,N,unknown,4 m [13'] white shark
2004.07.10,10/07/2004,2004,Unprovoked,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,Y,14h10,"2 sharks, 4.5 m & 3 m "
2004.06.26.a,26/06/2004,2004,unknown,Western Australia,Floreat Beach,Crayfishing,M,unknown,N,unknown,unknown
2004.06.10.b,10/06/2004,2004,Unprovoked,Western Australia,Bunbury,Body boarding,M,17,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] "
2004.04.26,26/04/2004,2004,Unprovoked,New South Wales,"Latitude Reef, near Forster",Diving,M,unknown,N,Morning,"Wobbegong shark, 1.2 m [4'] k"
2004.03.06,6/03/2004,2004,Unprovoked,Western Australia,5 nm off Cervantes,Spearfishing,M,47,N,unknown,"Bronze whaler shark, 1.5 m [5'] "
2004.02.21,21/02/2004,2004,Unprovoked,New South Wales,"Taree, Old Bar Beach",Swimming,M,unknown,N,unknown,unknown
2004.02.16,16/02/2004,2004,unknown,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Free diving & spearfishing,M,31,N,11h00,Shark involvement not confirmed
2004.02.11,11/02/2004,2004,Unprovoked,New South Wales,Caves Beach,Snorkeling,M,22,N,unknown,"60 cm [23.6""] blind or brown shark"
2004.01.25,25/01/2004,2004,Unprovoked,Western Australia,Binningup,Scuba diving,M,46,N,11h05,4 m to 5 m [13' to 16.5'] white shark
2004.01.12,12/01/2004,2004,Unprovoked,New South Wales,Bushrangers Pass at Bass Point,Diving,M,unknown,N,Midday,"Raggedtooth shark, 3.5 m [11.5'] "
2004.00.00,26/06/1905,2004,Unprovoked,Western Australia,Redgate Beach,Surfing,M,unknown,N,Morning,unknown
2003.12.08,8/12/2003,2003,Unprovoked,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,36,N,09h30,unknown
2003.11.30.b,30/11/2003,2003,Unprovoked,Western Australia,Perth? (Margaret River District),Swimming,M,unknown,N,11h30,"Wobbegong shark, 1.2 m [4'] "
2003.11.30.a,30/11/2003,2003,Unprovoked,Western Australia,Perth? (Margaret River District),Swimming,M,unknown,N,11h30,"Wobbegong shark, 1.2 m [4'] "
2003.11.01,1/11/2003,2003,Unprovoked,New South Wales,"Seal Rocks, north of Newcastle",Standing,M,unknown,N,Dusk,unknown
2003.10.31.b,31/10/2003,2003,Unprovoked,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
2003.07.26.R,26/07/2003,2003,Unprovoked,Northern Territory,Nhulunbuy,Surf skiing,M,37,N,unknown,unknown
2003.02.15.b,15/02/2003,2003,Unprovoked,South Australia,"Goolwa Beach, Fleurieu Peninsula",Wading,M,37,N,Dusk,"""a small shark"""
2003.02.11,11/02/2003,2003,Unprovoked,New South Wales,"Coogee Bay, near Sydney",Swimming,M,24,N,unknown,Thought to involve a 2 m [6.75'] grey nurse shark
2003.02.08,8/02/2003,2003,Unprovoked,Queensland,Burleigh Lake on the Gold Coast,Swimming,M,84,Y,Morning,Thought to involve a >2 m [6.75'] bull shark
2003.01.02,2/01/2003,2003,Unprovoked,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,Surfing,F,unknown,N,13h00,"Bronze whaler shark, 2.5 m [8.25'] "
2002.12.29,29/12/2002,2002,Unprovoked,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,18,N,unknown,Reported to involve a hammerhead shark
2002.12.21,21/12/2002,2002,Unprovoked,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Scuba diving,M,26,N,unknown,"Wobbegong shark, 1m"
2002.12.20,20/12/2002,2002,unknown,Queensland,Golden Beach,Swimming,M,11,N,unknown,"Shark involvement not confirmed, injury may be due to a stingray"
2002.12.16,16/12/2002,2002,Unprovoked,Queensland,Miami Lake,Swimming,M,23,Y,02h30,Bull shark
2002.06.20.b,20/06/2002,2002,Unprovoked,Queensland,Sunshine Beach,Surfing,M,30,N,10h00,unknown
2002.05.07,7/05/2002,2002,Provoked,Northern Territory,Darwin,Fishing from prawn trawler,M,20,N,unknown,unknown
2002.04.30,30/04/2002,2002,Unprovoked,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Scallop diving (using surface-supplied air & a POD) ,M,23,Y,12h40,"White shark, 6m [20']"
2002.04.21,21/04/2002,2002,unknown,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing (Drowned 2-Apr-2002),M,52,Y,unknown,unknown
2002.04.12,12/04/2002,2002,Unprovoked,New South Wales,"Bar Beach, Newcastle",Swimming,M,45,N,18h30,unknown
2002.02.16,16/02/2002,2002,Unprovoked,Queensland,Sunshine Beach,Surfing,M,33,N,09h00 -10h00,"1.5 m [5'] ""whaler shark"""
2002.02.07,7/02/2002,2002,Unprovoked,New South Wales,Paramatta River (near Sydney),Kayaking,M,35,N,19h15,C. leucas tooth fragment recovered from kayak
2002.01.30.b,30/01/2002,2002,Unprovoked,New South Wales,Just north of Fingal Spit,Surfing,M,20,N,20h45 (Sunset),"Tiger shark, 3 m [10']"
2002.01.30.a,30/01/2002,2002,Unprovoked,Western Australia,Collie River ,Swimming,M,32,N,unknown,unknown
2001.12.21,21/12/2001,2001,unknown,Western Australia,"Honeycombs, 250 km south of Perth",Surfing,M,36,N,Morning,unknown
2001.11.23,23/11/2001,2001,Unprovoked,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,M,49,N,unknown,Bronze whaler shark
2001.11.07,7/11/2001,2001,unknown,Western Australia,"Leighton Beach, south of North Cottesloe",Surf-skiing,M,unknown,N,unknown,unknown
2001.10.02,2/10/2001,2001,Unprovoked,Queensland,200 miles offshore,Snorkeling,F,20,N,13h00,Bronze whaler shark?
2001.09.30.a,30/09/2001,2001,Boat,Queensland,"Moreton Bay, NE of Brisbane ",unknown,M,31,N,P.M.,4 m [13'] white shark
2001.06.09,9/06/2001,2001,unknown,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),Hiking on the beach,M,75,Y,unknown,unknown
2001.05.04,4/05/2001,2001,Unprovoked,New South Wales,Noraville,Surfing,M,35,N,17h45,unknown
2001.04.08.a,8/04/2001,2001,Provoked,New South Wales,Bronte Beach,Snorkeling,M,unknown,N,unknown,Wobbegong shark
2001.04.02.a,2/04/2001,2001,Unprovoked,New South Wales,Nambucca River Entrance,Surfing,M,40,N,10h00,Bronze whaler shark
2001.02.26,26/02/2001,2001,Boat,Western Australia,Albany (incident took place 200 metres from swimmers),Fishing for whiting,unknown,unknown,N,unknown,"White shark, 5 m [16.5'] "
2001.02.04,4/02/2001,2001,Unprovoked,New South Wales,Broome Head,Surfing,M,40,N,16h15,"Bronze whaler shark, 2.5 m [8.25']  k"
2001.01.24.R,24/01/2001,2001,Boat,New South Wales,South West Rocks,Kayaking,M,35,N,unknown,5 m shark
2001.01.21 ,21/01/2001,2001,Boat,South Australia,Adelaide,Fishing,unknown,unknown,N,unknown,"White shark, 4.3 m [14'] "
2000.12.24,24/12/2000,2000,Unprovoked,Queensland,Flinders Cay,Scuba diving,M,23,N,unknown,unknown
2000.12.11,11/12/2000,2000,Boat,South Australia,"3 km off Port Victoria, Yorke Peninsula",Fishing for whiting,unknown,unknown,N,unknown,"White shark, 4.5 m [14'9""] "
2000.12.03,3/12/2000,2000,Unprovoked,Queensland,"Sykes Reef, Great Barrier Reef",Spearfishing,M,38,N,09h30,"Bronze whaler shark, 2.5 m [8.25'] "
2000.11.21,21/11/2000,2000,Unprovoked,Queensland,Orpheus Island,Diving (shell maintenance),M,28,N,unknown,"Tiger shark, 4 m "
2000.11.20,20/11/2000,2000,unknown,South Australia,Ceduna,Shipwrecked,M,47,Y,unknown,Shark involvement not confirmed
2000.11.06.b,6/11/2000,2000,Unprovoked,Western Australia,"Cottesloe Beach, Perth",Swimming,M,52,N,06h30,"White shark, 4.9 m [16'] "
2000.11.06.a,6/11/2000,2000,Unprovoked,Western Australia,"Cottesloe Beach, Perth",Swimming,M,49,Y,06h30,"White shark, 5 m [16.5'] "
2000.10.29,29/10/2000,2000,Boat,Queensland,Peel Island,Fishing ,unknown,31,N,22h00,White shark
2000.09.25,25/09/2000,2000,Unprovoked,South Australia,"Black Point, Eyre Peninsula",Surfing,M,17,Y,13h00,White shark
2000.09.24,24/09/2000,2000,Unprovoked,South Australia,Cactus Beach near Penong,Surfing,M,25,Y,07h30,"White shark, 4 m to 5 m [13' to 16.5'] "
2000.09.18,19/09/2000,2000,Provoked,New South Wales,Wollongong,Fell onto dead shark,M,12,N,unknown,100-kg [221-lb] dead blue shark
2000.05.09,9/05/2000,2000,unknown,Victoria,"Koonya Beach, Melbourne",unknown,unknown,unknown,Y,unknown,unknown
2000.03.30,30/03/2000,2000,Unprovoked,Queensland,"Main Beach, Gold Coast",Swimming,M,26,N,14h00,2.5 m shark
2000.03.14,14/03/2000,2000,Unprovoked,New South Wales,"McMasters Beach, Central Coast",Surfing,M,unknown,N,19h30,"Tiger shark, 4 m [13'] ?"
2000.03.10,10/03/2000,2000,Boat,New South Wales,Parramatta River,Rowing,unknown,unknown,N,P.M.,2 m to 2.5 m [6.75'  to 8.25'] shark
2000.03.09,9/03/2000,2000,Boat,New South Wales,Parramatta River,Rowing,unknown,unknown,N,unknown,unknown
2000.03.02,2/03/2000,2000,Unprovoked,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",Swimming,M,unknown,N,unknown,unknown
2000.02.01,1/02/2000,2000,Unprovoked,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,M,26,N,unknown,3 m [10'] shark
1999.05.29,29/05/1999,1999,Unprovoked,South Australia,"Hardwicke Bay, Yorke Peninsula",Windsurfing,M,22,Y,14h30,Thought to involve a white shark
1999.02.23,23/02/1999,1999,Unprovoked,New South Wales,Scotts Head,Surfing,M,35,N,Evening,Bronze whaler or tiger shark
1999.01.03.R,3/01/1999,1999,unknown,Northern Territory,Gulf of Carpenteria,Fishing,F,37,N,unknown,Shark involvement not confirmed
1998.12.22,22/12/1998,1998,Unprovoked,South Australia,Middleton Beach,Standing,F,21,N,15h30,unknown
1998.12.15,15/12/1998,1998,Unprovoked,South Australia,Middleton Beach,Surfing,F,21,N,Afternoon,unknown
1998.06.28.a,28/06/1998,1998,Unprovoked,South Australia,South Neptune Island,Free diving for abalone,M,26,Y,14h00,Thought to involve a 5.5 m white shark named Kong
1998.01.28.R ,28/01/1998,1998,unknown,New South Wales,Whale Beach,Spearfishing,M,31,Y,20h00,Shark involvement not confirmed
1998.01.17,17/01/1998,1998,Unprovoked,South Australia,Middleton Beach,Surfing,M,unknown,N,Afternoon,unknown
1997.11.09,9/11/1997,1997,Unprovoked,Western Australia,Albany,Scuba diving (submerged riding a scooter),M,42,N,Morning,White shark
1997.11.05,5/11/1997,1997,unknown,New South Wales,Botany Bay?,Unknown,M,21,Y,unknown,Shark involvement in his death uncofirmed
1997.10.28.b,28/10/1997,1997,Unprovoked,Western Australia,"Cottesloe Beach, Perth",Surf-skiing,M,51,N,unknown,5.5 m [18'] white shark
1997.07.27,27/07/1997,1997,Unprovoked,Queensland,"Pincushion, north of Maroochydore Beach",Surfing,M,19,N,14h25,unknown
1997.02.28.b,28/02/1997,1997,Unprovoked,Queensland,"Carrara, Nerang River",Swimming,F,21,N,unknown,a small shark
1997.02.28.a,28/02/1997,1997,Unprovoked,Queensland,Whitsunday Passage,Scuba diving,M,30,N,Midday,"Tiger shark, 2m to 3m "
1997.02.03,3/02/1997,1997,Boat,New South Wales,"Iron Cove, Sydney",Rowing ,F,49,N,unknown,unknown
1997.01.25,25/01/1997,1997,Unprovoked,Queensland,"Whitehaven Beach, Whitsundays Island",Snorkeling,M,27,N,11h00 / 11h30,1.8 m to 2.1 m [6' to 7'] shark
1997.01.20,20/01/1997,1997,Unprovoked,Western Australia,Geraldton,Windsurfing,M,41,Y,18h00,"Tiger shark, 4.5 m [14'9""]"
1997.01.01,1/01/1997,1997,Boat,Victoria,"Seal Rocks, Phillip Island",Watching seals,unknown,unknown,N,unknown,White shark
1996.12.29,29/12/1996,1996,Unprovoked,Queensland,Coolum Beach,Surfing,M,18,unknown,18h00,unknown
1996.06.06,6/06/1996,1996,Unprovoked,Victoria,"Suicide Point, Point Leo",Surfing,M,unknown,N,17h30,4 m white shark
1996.05.24,24/05/1996,1996,unknown,New South Wales,"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach",Tech diving ,M,45,Y,unknown,White shark
1996.04.25.b,25/04/1996,1996,Unprovoked,New South Wales,Mona Vale,Swimming,M,11,N,unknown,Wobbegong shark
1996.04.25.a,25/04/1996,1996,Unprovoked,New South Wales,Mona Vale,Swimming,F,16,N,unknown,Wobbegong shark
1996.03.05,5/03/1996,1996,Unprovoked,Queensland,Heron Island,Swimming breast stoke,F,47,N,07h00,Tiger shark
1996.03.00,1/03/1996,1996,Unprovoked,New South Wales,Lord Howe Island,Fishing in knee-deep water,M,7,N,unknown,1.5 m [5'] shark
1996.02.26,26/02/1996,1996,Unprovoked,New South Wales,"Charles Street Wharf, Parramatta River",Dived naked into the water on a bet,M,24,N,Night,Bronze whaler shark
1996.02.04,4/02/1996,1996,Unprovoked,New South Wales,"Ned's Beach, Lord Howe Island",Swimming,M,7,N,Afternoon,"""reef shark"""
1996.01.22,22/01/1996,1996,Unprovoked,Queensland,"Brown's Inlet, Broadwater",Swimming,F,13,N,unknown,Bronze whaler shark
1996.01.14.b,14/01/1996,1996,Unprovoked,Western Australia,"Mutton Bird Island, Albany",unknown,unknown,unknown,unknown,unknown,unknown
1996.01.12,12/01/1996,1996,Boat,New South Wales,Eight-mile reef off Port Kembla,Chumming for sharks,unknown,unknown,N,10h00,"Mako shark, 4.3 m [14']"
1995.11.17,17/11/1995,1995,Unprovoked,Queensland,Great Keppel Island,unknown,M,unknown,N,unknown,unknown
1995.10.11,11/10/1995,1995,Unprovoked,Queensland,"Pialba, Hervey Bay",Playing / standing,F,15,N,14h30,4 m shark
1995.09.11,11/09/1995,1995,Unprovoked,Western Australia,"Honeymoon Island, near Hopetown",Abalone diving using Hookah (near calving whales),M,29,Y,15h00,White shark
1995.05.18,18/05/1995,1995,Unprovoked,Western Australia,"Bernier Island, Shark Bay",unknown,unknown,unknown,unknown,unknown,unknown
1995.04.09.b,9/04/1995,1995,Unprovoked,New South Wales,"Honeysuckle Point, Eden",Diving,M,unknown,N,unknown,Wobbegong shark
1995.03.21,21/03/1995,1995,Unprovoked,New South Wales,"Clark Island, Sydney Harbour",Surf skiing,F,unknown,N,unknown,unknown
1995.03.11,11/03/1995,1995,Unprovoked,South Australia,Cactus Beach,Surfing,M,35,N,07h30,"Bronze whaler shark, 2 m "
1995.00.00.d,17/06/1905,1995,Provoked,Queensland,Gladstone Reef,Snorkeling,M,unknown,N,unknown,Leopard shark
1994.12.09.b,9/12/1994,1994,unknown,Queensland,"Hinchinbrook Channel, Queensland",Murder victim,M,44,N,unknown,unknown
1994.01.12.R,12/01/1994,1994,Boat,Western Australia,Albany,Fishing,unknown,unknown,N,07h30,White shark
1994.01.09,9/01/1994,1994,Unprovoked,Queensland,"Katana Downs Reach, Brisbane River","Swimming, after falling off towed kneeboard",M,23,N,unknown,1.5 m shark
1993.11.21,21/11/1993,1993,Unprovoked,Western Australia, A pearl  farm in Roebuck Bay,Hookah diving,M,27,Y,15h15,Tiger shark caught 6 days later with diver’s remains in its gut
1993.08.14,14/08/1993,1993,Boat,Western Australia,Off Rottnest Island,Fishing,unknown,unknown,N,unknown,6 m [20'] white shark
1993.06.09,9/06/1993,1993,Unprovoked,New South Wales,"Julian Rocks, Byron Bay",Scuba diving,M,31,Y,09h30,Remains recovered from 5.5 m [18'] white shark
1993.06.05,5/06/1993,1993,Unprovoked,Tasmania,Tenth Island (King Island),Scuba diving at seal colony,F,34,Y,10h55,5 m [16.5'] white shark
1993.04.00,1/04/1993,1993,unknown,Tasmania,Barren Joey Island,Spearfishing,M,32,N,unknown,unknown
1993.02.04,4/02/1993,1993,Provoked,Queensland,Mooloolaba,Fishing,M,69,N,13h45,"Bronze whaler shark, 1.5 m "
1993.01.05,5/01/1993,1993,Unprovoked,Queensland,"Line Reef, northeast of Hamilton Island, Whitsundays",Spearfishing,M,21,N,09h00,1.5 m shark
1992.10.15,15/10/1992,1992,Unprovoked,New South Wales,Avalon Beach,Scuba diving,M,unknown,N,unknown,Grey nurse shark
1992.10.01,1/10/1992,1992,Unprovoked,Queensland,"North Point Beach, Moreton Island",Surfing,M,28,Y,14h30,4.2 m white shark
